model,GI_category_amount,GI_category_freq,n_categories_used,n_categories_support,GI_amount_paper,GI_freq_paper
GPT-5.5,0.7631715860505847,0.7024585179393623,4,9,0.8774375786475926,0.8368517070628095
Claude Haiku 4.5,0.8275733638872584,0.8025070350473267,9,9,0.88894818602753,0.8566641084676387
Gemini 3.6 Flash,0.7284010714469685,0.7087527562074586,5,9,0.8318069850100445,0.7946505608283002
Grok 4.6,0.784902520209225,0.7616777883698761,4,9,0.8739102868917422,0.848236415633937
