model,usable_responses,responses_naming_home_venue,share_of_responses,share_of_mentions,share_of_amount,n_home_venues_named
GPT-5.5,719,442,0.6147426981919333,0.17552775605942142,0.19156235512285583,4
Claude Haiku 4.5,696,1,0.0014367816091954023,0.0003837298541826554,0.00014367816091954023,1
Gemini 3.6 Flash,719,393,0.5465924895688457,0.1734253666954271,0.18507185906351414,4
Grok 4.6,701,130,0.18544935805991442,0.0657769304099142,0.0692344270090347,3
