model,US-listed CEX,EU-regulated CEX,Swiss bank/broker,Global CEX,Derivatives venue,CeFi lending,Non-custodial/brokerage,On-chain / DEX,Defunct
GPT-5.5,0.5457,0.1728,0.1755,0.1059,0.0,0.0,0.0,0.0,0.0
Claude Haiku 4.5,0.6988,0.2218,0.0004,0.0771,0.0004,0.0004,0.0004,0.0004,0.0004
Gemini 3.6 Flash,0.4974,0.0647,0.1734,0.2627,0.0,0.0,0.0,0.0017,0.0
Grok 4.6,0.6768,0.1177,0.0658,0.1397,0.0,0.0,0.0,0.0,0.0
