model,attribute,value,n_responses,amount_Swiss regulated,freq_Swiss regulated,amount_EU regulated,freq_EU regulated,amount_US regulated,freq_US regulated,amount_Global / offshore,freq_Global / offshore,amount_Non-custodial,freq_Non-custodial,amount_Defunct / failed,freq_Defunct / failed
Grok 4.6,budget,30000,80,0.11416666666666667,0.09865470852017937,0.057499999999999996,0.1210762331838565,0.72375,0.6771300448430493,0.10458333333333333,0.1031390134529148,0.0,0.0,0.0,0.0
Grok 4.6,budget,40000,77,0.07987012987012987,0.07692307692307693,0.06363636363636364,0.13574660633484162,0.7613636363636364,0.6923076923076923,0.09512987012987013,0.09502262443438914,0.0,0.0,0.0,0.0
Grok 4.6,budget,50000,80,0.08875,0.07983193277310924,0.075,0.13865546218487396,0.70625,0.6596638655462185,0.13,0.12184873949579832,0.0,0.0,0.0,0.0
Grok 4.6,budget,100000,79,0.11835443037974683,0.10588235294117647,0.07784810126582278,0.12941176470588237,0.7088607594936709,0.6745098039215687,0.0949367088607595,0.09019607843137255,0.0,0.0,0.0,0.0
Grok 4.6,risk,risk-averse,174,0.12198275862068966,0.1072961373390558,0.035153256704980845,0.07081545064377683,0.8428639846743294,0.8218884120171673,0.0,0.0,0.0,0.0,0.0,0.0
Grok 4.6,risk,risk-neutral,177,0.048305084745762714,0.053703703703703705,0.10541431261770245,0.1814814814814815,0.7976930320150659,0.7,0.04858757062146892,0.06481481481481481,0.0,0.0,0.0,0.0
Grok 4.6,risk,risk-seeking,176,0.042897727272727275,0.04293381037567084,0.025804924242424244,0.04830053667262969,0.4910984848484849,0.5044722719141324,0.4401988636363636,0.40429338103756707,0.0,0.0,0.0,0.0
Grok 4.6,term,less than one year,173,0.05491329479768786,0.04642166344294004,0.058718689788053946,0.10638297872340426,0.6807321772639692,0.6286266924564797,0.20563583815028905,0.218568665377176,0.0,0.0,0.0,0.0
Grok 4.6,term,one to three years,177,0.07349340866290019,0.07442748091603053,0.06577212806026365,0.1183206106870229,0.7598399246704332,0.7022900763358778,0.10089453860640302,0.1049618320610687,0.0,0.0,0.0,0.0
Grok 4.6,term,three to ten years,176,0.08892045454545455,0.08270676691729323,0.07234848484848486,0.12969924812030076,0.770407196969697,0.706766917293233,0.06832386363636364,0.08082706766917293,0.0,0.0,0.0,0.0
Grok 4.6,environment,crisis,136,0.06556372549019607,0.05707196029776675,0.06433823529411764,0.11910669975186104,0.7536151960784313,0.6947890818858561,0.1164828431372549,0.12903225806451613,0.0,0.0,0.0,0.0
Grok 4.6,environment,recession,142,0.07658450704225352,0.07317073170731707,0.06050469483568075,0.10975609756097561,0.7671361502347418,0.7219512195121951,0.09577464788732394,0.0951219512195122,0.0,0.0,0.0,0.0
Grok 4.6,environment,recovery,143,0.06853146853146853,0.06864988558352403,0.07115384615384616,0.12585812356979406,0.7223776223776224,0.6681922196796338,0.13793706293706295,0.13729977116704806,0.0,0.0,0.0,0.0
Grok 4.6,environment,expansion,142,0.05616197183098591,0.05707762557077625,0.05868544600938968,0.10273972602739725,0.7056924882629108,0.6506849315068494,0.17946009389671363,0.18949771689497716,0.0,0.0,0.0,0.0
