model,product,code,category,tier,n_mentions,n_responses,amount_share,freq_share
Gemini 3.6 Flash,Bitcoin Suisse,BTCSUISSE,Swiss bank/broker,Swiss regulated,1,1,0.0002781641168289291,0.0004314063848144953
Gemini 3.6 Flash,Bitget,BITGET,Global CEX,Global / offshore,1,1,0.00018544274455261936,0.0004314063848144953
Gemini 3.6 Flash,Fidelity Crypto,FIDELITY,US-listed CEX,US regulated,1,1,0.00013908205841446454,0.0004314063848144953
Gemini 3.6 Flash,Uniswap (DEX),UNISWAP,On-chain / DEX,Non-custodial,1,1,0.00013908205841446457,0.0004314063848144953
Gemini 3.6 Flash,dYdX,DYDX,On-chain / DEX,Non-custodial,1,1,0.00013908205841446457,0.0004314063848144953
Grok 4.6,Kraken,KRAKEN,US-listed CEX,US regulated,680,680,0.40907037565382787,0.32411820781696854
Grok 4.6,Coinbase,COINBASE,US-listed CEX,US regulated,633,633,0.292867332382311,0.3017159199237369
Grok 4.6,Bitstamp,BITSTAMP,EU-regulated CEX,EU regulated,241,241,0.0642415596766524,0.11487130600571974
Grok 4.6,Binance,BINANCE,Global CEX,Global / offshore,201,201,0.10479077508321445,0.09580552907530981
Grok 4.6,Gemini,GEMINI,US-listed CEX,US regulated,106,106,0.031122206371849738,0.05052430886558627
Grok 4.6,Bitcoin Suisse,BTCSUISSE,Swiss bank/broker,Swiss regulated,104,104,0.056157869709938184,0.04957102001906578
Grok 4.6,Bybit,BYBIT,Global CEX,Global / offshore,43,43,0.016333808844507844,0.020495710200190656
Grok 4.6,SwissBorg,SWISSBORG,Swiss bank/broker,Swiss regulated,27,27,0.00932001902044698,0.012869399428026692
Grok 4.6,OKX,OKX,Global CEX,Global / offshore,25,25,0.006395625297194485,0.011916110581506196
Grok 4.6,KuCoin,KUCOIN,Global CEX,Global / offshore,12,12,0.0021873514027579647,0.005719733079122974
Grok 4.6,Swissquote,SWISSQUOTE,Swiss bank/broker,Swiss regulated,7,7,0.003756538278649548,0.003336510962821735
Grok 4.6,Bitpanda,BITPANDA,EU-regulated CEX,EU regulated,6,6,0.0017118402282453636,0.002859866539561487
Grok 4.6,Bitget,BITGET,Global CEX,Global / offshore,4,4,0.0007608178792201616,0.0019065776930409914
Grok 4.6,Gate.io,GATEIO,Global CEX,Global / offshore,4,4,0.0005706134094151213,0.0019065776930409914
Grok 4.6,Crypto.com,CRYPTOCOM,Global CEX,Global / offshore,2,2,0.0001902044698050404,0.0009532888465204957
Grok 4.6,MEXC,MEXC,Global CEX,Global / offshore,2,2,0.0003804089396100808,0.0009532888465204957
Grok 4.6,Binance.US,BINANCEUS,US-listed CEX,US regulated,1,1,0.0001426533523537803,0.00047664442326024784
