model,abs_diff_amount,abs_diff_freq,agree_1e-9
GPT-5.5,3.6610736664499655e-10,9.814526968909831e-11,True
Claude Haiku 4.5,3.8316716466368916e-10,9.861822469758863e-11,True
Gemini 3.6 Flash,3.4706781892879235e-10,1.0284506579694153e-10,True
Grok 4.6,3.739989429263346e-10,1.2129208748490328e-10,True
