model,GI_category_amount,GI_category_freq,n_categories_used,n_categories_support,GI_amount_paper,GI_freq_paper
GPT-5.5,0.6822150574945391,0.5678109452736319,9,10,0.8930987270765451,0.8060442468508521
Claude Haiku 4.5,0.7612363022958046,0.7303650631183897,8,10,0.9169058236636598,0.8675566395900027
Gemini 3.6 Flash,0.7164726471951783,0.6887384615384615,9,10,0.8997857051263085,0.8433256955810148
Grok 4.6,0.7629724358974359,0.7619774386197744,9,10,0.9278191489361702,0.8966101455618462
