model,n,median,mean,within_tol,over_budget,n_over_1,min,max
GPT-5.5,640,1.0,0.9998906250000001,0.9984375,0.0,0,0.95,1.0
Claude Haiku 4.5,585,1.0,0.999965811965812,0.9982905982905983,0.0,1,0.975,1.005
Gemini 3.6 Flash,640,1.0,1.0,1.0,0.0,0,1.0,1.0
Grok 4.6,491,1.0,1.0,1.0,0.0,0,1.0,1.0
