model,attribute,value,n_responses,n_products,GI_amount,GI_freq,GI_amount_own,top_token,top_share
Gemini 3.6 Flash,term,three to ten years,180,20,0.9200214736012607,0.8572003420351089,0.8120504629629628,Bitcoin,0.4434259259259259
Gemini 3.6 Flash,environment,crisis,144,18,0.9080144306540583,0.858027079303675,0.75981545781893,Bitcoin,0.39653935185185185
Gemini 3.6 Flash,environment,recession,144,20,0.912694050433412,0.8634455276453427,0.7948310185185187,Bitcoin,0.41063657407407406
Gemini 3.6 Flash,environment,recovery,144,21,0.9030173857368008,0.8451502773882826,0.7829436728395064,Bitcoin,0.37424768518518525
Gemini 3.6 Flash,environment,expansion,144,18,0.8933527876280535,0.8403657661965097,0.7215322788065843,Bitcoin,0.3485300925925926
Grok 4.6,budget,100,73,11,0.9278927426406295,0.9041978148361127,0.6919053549190536,Bitcoin,0.4897260273972603
Grok 4.6,budget,1000,61,14,0.9276456226020229,0.8993405499564514,0.7570960187353628,Bitcoin,0.4655737704918032
Grok 4.6,budget,10000,61,10,0.9313812347401463,0.9085106382978724,0.6774918032786885,Bitcoin,0.46147540983606555
Grok 4.6,budget,20000,62,17,0.9248970487302677,0.8900709219858156,0.7923624288425049,Bitcoin,0.46048387096774196
Grok 4.6,budget,30000,62,13,0.9351407000686341,0.9070801779059983,0.7655086848635235,Bitcoin,0.4978494623655914
Grok 4.6,budget,40000,57,8,0.93859649122807,0.9209351195166798,0.6392543859649124,Bitcoin,0.4885964912280702
Grok 4.6,budget,50000,57,11,0.9385591638671148,0.9133367929423976,0.7374800637958533,Bitcoin,0.5063157894736842
Grok 4.6,budget,100000,58,14,0.9301980924431401,0.9008650923544541,0.7656650246305419,Bitcoin,0.4793103448275862
Grok 4.6,risk,risk-averse,146,6,0.9480083551928495,0.9385896249911051,0.5927321156773212,Bitcoin,0.5548515981735159
Grok 4.6,risk,risk-neutral,139,10,0.9484606357467216,0.925531914893617,0.7577649880095922,Bitcoin,0.5343525179856116
Grok 4.6,risk,risk-seeking,137,21,0.90669462131801,0.8804755944931164,0.7911736762831654,Bitcoin,0.2953284671532847
Grok 4.6,term,less than one year,122,17,0.9092285780723169,0.8871658085726691,0.7490437158469944,Bitcoin,0.3434426229508196
Grok 4.6,term,one to three years,128,13,0.9412932180851065,0.9148936170212766,0.7877524038461536,Bitcoin,0.5175130208333333
Grok 4.6,term,three to ten years,139,9,0.9508745344150212,0.9249155903317434,0.7434559019451106,Bitcoin,0.5635011990407673
Grok 4.6,environment,crisis,98,11,0.9359675785207701,0.9181276595744681,0.7264069264069265,Bitcoin,0.4804421768707483
Grok 4.6,environment,recession,102,13,0.9343415380336534,0.9136983026535979,0.762619406737054,Bitcoin,0.5016339869281046
Grok 4.6,environment,recovery,121,16,0.9321950647675988,0.9020618556701031,0.8008230027548209,Bitcoin,0.47279614325068875
Grok 4.6,environment,expansion,108,18,0.9314611242448123,0.8996783770410688,0.8210373799725651,Bitcoin,0.46520061728395057
