model,n_responses,n_products,n_products_union,gini_support,GI_amount_paper,GI_amount_pygini,GI_freq_paper,GI_freq_pygini,GI_amount_union,GI_freq_union,GI_amount_own,GI_freq_own,top1_amount_share,top3_amount_share,top1_freq_share,top3_freq_share,HHI_amount,effective_n_amount,mean_products_per_response
GPT-5.5,719,35,47,union,0.8930987270765451,0.8930987264927391,0.8060442468508521,0.8060442467566132,0.8930987270765451,0.8060442468508521,0.8564468620742177,0.73954513148543,0.4008880001393099,0.7363580796227694,0.17587064676616915,0.4781094527363184,0.24154645628405688,4.139990357896235,5.591098748261475
Claude Haiku 4.5,644,19,47,union,0.9169058236636598,0.9169058229944894,0.8675566395900027,0.8675566394508858,0.9169058236636598,0.8675566395900027,0.7944512480101058,0.6723769505647434,0.39632264859362987,0.7998415150487188,0.21972023200272944,0.5892186966905493,0.26989853758115084,3.7050960296490243,4.551242236024844
Gemini 3.6 Flash,719,28,47,union,0.8997857051263085,0.8997857045381309,0.8433256955810148,0.8433256954590569,0.8997857051263085,0.8433256955810148,0.8317831478905888,0.737010989010989,0.3849281409364859,0.7542002781641169,0.20676923076923076,0.5664615384615385,0.2335765539024113,4.281251620904561,4.520166898470097
Grok 4.6,520,26,47,union,0.9278191489361702,0.9278191480975645,0.8966101455618462,0.8966101452822133,0.9278191489361702,0.8966101455618462,0.8695192307692309,0.8131029554387219,0.47825641025641025,0.8518621794871795,0.30723291307232914,0.7836761778367618,0.31753193464414853,3.149289538769319,2.898076923076923
