model,Stable,Blue chip,Large-cap alt,Small-cap alt,Meme
GPT-5.5,0.1291,0.6472,0.1132,0.1104,0.0002
Claude Haiku 4.5,0.06,0.7046,0.1882,0.0471,0.0001
Gemini 3.6 Flash,0.1026,0.6237,0.1811,0.078,0.0146
Grok 4.6,0.0968,0.7412,0.138,0.0131,0.0109
