model,Stable,Blue chip,Large-cap alt,Small-cap alt,Meme
GPT-5.5,0.1114,0.3502,0.2065,0.3311,0.0007
Claude Haiku 4.5,0.0597,0.4418,0.3599,0.1378,0.0007
Gemini 3.6 Flash,0.0902,0.4095,0.276,0.1898,0.0345
Grok 4.6,0.0743,0.6118,0.2495,0.0451,0.0192
