model,abs_diff_amount,abs_diff_freq,agree_1e-9
GPT-5.5,5.838060035401327e-10,9.423883895465224e-11,True
Claude Haiku 4.5,6.691703857697462e-10,1.391169401898651e-10,True
Gemini 3.6 Flash,5.881776177218967e-10,1.2195788823277098e-10,True
Grok 4.6,8.386057404052849e-10,2.7963287241306034e-10,True
