scenario,model,n_responses,n_products,n_products_union,gini_support,GI_amount_paper,GI_amount_pygini,GI_freq_paper,GI_freq_pygini,GI_amount_own,GI_freq_own,top1_amount_share,top3_amount_share,HHI_amount,effective_n_amount
tokens,GPT-5.5,719,35,47,union,0.8930987270765451,0.8930987264927391,0.8060442468508521,0.8060442467566132,0.8564468620742177,0.73954513148543,0.4008880001393099,0.7363580796227694,0.24154645628405688,4.139990357896235
tokens,Claude Haiku 4.5,644,19,47,union,0.9169058236636598,0.9169058229944894,0.8675566395900027,0.8675566394508858,0.7944512480101058,0.6723769505647434,0.39632264859362987,0.7998415150487188,0.26989853758115084,3.7050960296490243
tokens,Gemini 3.6 Flash,719,28,47,union,0.8997857051263085,0.8997857045381309,0.8433256955810148,0.8433256954590569,0.8317831478905888,0.737010989010989,0.3849281409364859,0.7542002781641169,0.2335765539024113,4.281251620904561
tokens,Grok 4.6,520,26,47,union,0.9278191489361702,0.9278191480975645,0.8966101455618462,0.8966101452822133,0.8695192307692309,0.8131029554387219,0.47825641025641025,0.8518621794871795,0.31753193464414853,3.149289538769319
exchanges,GPT-5.5,719,16,30,union,0.8774375786475926,0.8774375782814853,0.8368517070628095,0.8368517069646643,0.7701954599642361,0.6940969507427678,0.4278296575932181,0.8167709782104775,0.26945613762949117,3.7111791507047602
exchanges,Claude Haiku 4.5,696,20,30,union,0.88894818602753,0.8889481856443628,0.8566641084676387,0.8566641083690205,0.8334222790412952,0.7849961627014582,0.385934375518554,0.8576710536852524,0.2790889061893111,3.5830876033520362
exchanges,Gemini 3.6 Flash,719,20,30,union,0.8318069850100445,0.8318069846629766,0.7946505608283002,0.7946505607254551,0.7477104775150673,0.6919758412424504,0.36963375057950854,0.6702480296708391,0.20554994915799574,4.864997554591225
exchanges,Grok 4.6,701,17,30,union,0.8739102868917422,0.8739102865177433,0.848236415633937,0.848236415512645,0.7774887415736622,0.7321819099422419,0.4090703756538278,0.8067284831193532,0.2727577214603415,3.6662573460652634
